cytoband	8p23.2	13q14.2	1p36.13	19p13.3	3p14.3	11q23.2	10q23.31	17p12	15q12	4q35.2	11p15.5	9p21.3	6q27	2q37.3	17q12	14q24.3	7q36.1	16q24.3	21q11.2	5q11.2	6q15	18q23	6p25.3	10q26.3	11q25	12p13.1	1p21.2	20p13	4p16.3	12q24.31	8p11.21	7p22.3	9p13.1	9p24.1	11q13.1	19q13.32	5q21.3	12q23.1	22q13.32	9q34.3	
			FAM131C													C14orf162					SNORD50B						GPSM2			TMEM132B							TRIM36			ARRDC1	
			PADI6													C14orf132					LOC728012						SLC25A24			IQCD							RIOK2			WDR85	
			C1orf187													DDX24					C6orf186						DNTTIP2			LOC116437							BDP1			TMEM203	
			SPATA21													ADCK1					LOC100130890						TMED5			TMEM132D							ERBB2IP			ZMYND19	
			TMEM82													TMEM63C					MIR2113						SH3GLB1			SLC15A4							FEM1C			NACC2	
			PRAMEF12													GALNTL1					MIR548H3						SNX7			SPPL3							NLN			C9orf116	
			PRAMEF21													PLEKHH1					LOC100422737						TRIM33			BRI3BP							ZNF608			LCN8	
			PRAMEF8													UNC79					MIR4464						DPH5			FAM101A							SEMA6A			FAM69B	
			PRAMEF18													PPP4R4					MIR4643						GPR88			ZNF664							ARRDC3			ASB6	
			PRAMEF17													ZNF410											CCDC76			TMEM120B							ANKRA2			SLC34A3	
			PLA2G2C													NGB											RSBN1			WDR66							MCCC2			CAMSAP1	
			PRAMEF4													RBM25											ZNHIT6			GLT1D1							EPB41L4A			C9orf163	
			PRAMEF13													C14orf133											GDAP2			LOC144742							CENPK			MAMDC4	
			SH2D5													SMOC1											FAM46C			CCDC60							ERAP2			LCN6	
			PRAMEF3													MOAP1											PALMD			PGAM5							RGNEF			AK8	
			LDLRAD2													IRF2BPL											FNBP1L			RILPL2							FBXL17			C9orf96	
			PRAMEF11													MPP5											ST7L			DNAH10							YTHDC2			QSOX2	
			PRAMEF6													OTUB2											PRPF38B			PLBD2							SLC30A5			LINC00094	
			LOC440563													LINC00341											LRRC8D			LRRC43							CENPH			LCN12	
			UQCRHL													ZC2HC1C											PRMT6			LOC255480							GRAMD3			C9orf142	
			MINOS1													C14orf169											MCOLN3			GPR133							MCTP1			TPRN	
			PRAMEF7													CLMN											SLC22A15			MORN3							PTCD2			FAM78A	
			PRAMEF19													CATSPERB											RNPC3			KSR2							C5orf44			QRFP	
			PRAMEF20													ZC3H14											LRIF1			GATC							NUDT12			GLT6D1	
			LOC649330													RIN3											CTTNBP2NL			HNF1A-AS1							ATG10			C9orf50	
			PRAMEF22													C14orf159											FAM212B			DDX51							SPATA9			PNPLA7	
			PRAMEF15													C14orf45											CCBL2			HCAR2							TSSK1B			C9orf169	
			PRAMEF16													SLIRP											TMEM167B			LOC338799							FAM172A			ENTPD8	
			SNORA59B													DNAL1											OLFML3			EP400NL							GPR98			IER5L	
			SNORA59A													RPS6KL1											AMIGO1			RILPL1							UTP15			C9orf171	
			PRAMEF14													IFI27L2											ODF2L			IL31							ZCCHC9			LCN15	
			FLJ37453													C14orf142											KIAA1324			CCDC42B							ANKRD32			C9orf172	
			NPPA-AS1													STON2											PTBP2			TMEM233							ZBED3			LRRC26	
			MIR3675													KIAA1737											DNASE2B			SETD8							GFM2			TMEM8C	
			LOC100506730													PAPLN											ELTD1			LOC387895							MEGF10			LCN9	
			LOC100506801													FAM181A											HIAT1			LOC400084							SPZ1			LOC401557	
			C1orf151-NBL1													EFCAB11											RBM15			FLJ37505							TSLP			LCNL1	
			MIR4695													CHURC1											DCLRE1B			LOC440117							C5orf30			C9orf139	
			MIR4632													C14orf43											WDR77			FLJ31485							SLC25A46			FAM166A	
																LIN52											EPS8L3			MAP1LC3B2							MRPS36			SOHLH1	
																NEK9											VTCN1			LOC647589							ATP6AP1L			MIR126	
																IFT43											TTLL7			SNORA49							PRDM6			C9orf106	
																AK7											RPAP2			MIR620							FTMT			LCN10	
																IFI27L1											DENND2D			LOC100128554							EPB41L4A-AS1			C9orf173	
																NOXRED1											RPF1			LOC100130238							MARCH3			NRARP	
																JDP2											SIKE1			LOC100190940							FCHO2			FAM163B	
																ISCA2											TRIM45			LINC00173							LYSMD3			FLJ40292	
																ACOT4											VANGL1			ZNF605							SLCO6A1			TUBBP5	
																TTC8											GPR61			MIR1178							PRRC1			RNF224	
																TC2N											SYDE2			MIR4304							JMY			SNORA17	
																SLC24A4											ZNF644			MIR3612							ZNF474			SNORA43	
																RDH12											LRRC8C			MIR3908							POU5F2			SNORD62B	
																ADAM21P1											PROK1			LOC100506649							TMEM171			MIR602	
																GSC											PSRC1			LOC100506668							TMEM174			RNF208	
																SERPINA12											ATP1A1OS			LOC100507055							POC5			DNLZ	
																PRIMA1											FAM40A			LOC100507066							STARD4			LOC100128593	
																LOC145474											DNAJA1P5			LOC100507091							WDR36			LOC100129722	
																PTGR2											HENMT1			LOC100507206							ACOT12			LOC100130954	
																FAM161B											GBP4			ZNF664-FAM101A							SREK1			LOC100131193	
																C14orf166B											GBP5			MIR4498							CEP120			FAM157B	
																ISM2											SSX2IP			MIR4472-2							TMEM167A			RNU6ATAC	
																CEP128											OLFM3			MIR4700							MBLAC2			LOC100272217	
																TTC7B											WDR63										TMEM161B			LOC100289341	
																FAM71D											MAB21L3										SRFBP1			MIR4292	
																TMEM229B											SLC44A3										MARVELD2			MIR3621	
																C14orf49											ATXN7L2										ARSK			MIR3689A	
																SAMD15											C1orf194										FAM81B			MIR3689B	
																EML5											LRRC39										CCDC112			LOC100506190	
																LINC00521											DRAM2										PAPD4			LOC100506599	
																SERPINA11											C1orf88										DCP2			MIR3689D1	
																PROX2											C1orf162										LIX1			MIR3689F	
																ZDHHC22											SYT6										ZNF366			MIR4669	
																TMED8											SAMD13										FAM151B			MIR4673	
																C14orf178											C1orf52										S100Z			MIR4674	
																LOC283585											TMEM56										CCDC125			MIR3689C	
																LOC283587											NBPF4										C5orf27			MIR3689D2	
																FAM181A-AS1											SLC30A7										CMYA5			MIR3689E	
																SNHG10											RP11-165H20.1										AQPEP			MIR4479	
																C14orf177											DENND2C										ANKRD31				
																C14orf55											GBP6										SERINC5				
																ITPK1-AS1											LPPR5										KIAA0825				
																SNORD56B											FNDC7										GPR150				
																SERPINA9											SASS6										DTWD2				
																VSX2											HFM1										NBPF22P				
																COX8C											UBL4B										RNF180				
																RAB15											ALG14										SREK1IP1				
																SERPINA13											SPAG17										RGMB				
																C14orf64											HIPK1										RFESD				
																HEATR4											AKR7A2P1										FAM170A				
																PLEKHD1											EPHX4										ANKRD34B				
																LOC400236											AKNAD1										FAM174A				
																LOC400238											MCOLN2										MTX3				
																DICER1-AS1											COL24A1										SLCO4C1				
																LINC00238											MAGI3										TICAM2				
																CCDC88C											FAM19A3										MAST4				
																ACOT1											FAM102B										C5orf48				
																ACOT6											SYPL2										RGS7BP				
																LOC645431											CYB561D1										C5orf63				
																SYNDIG1L											ZNF326										MIR9-2				
																SCARNA13											BTBD8										CRSP8P				
																SNORA79											PPM1J										FLJ42709				
																LOC731223											LOC339524										FLJ35946				
																SNORA11B											CCDC18										CTXN3				
																LOC100129345											MYBPHL										TMEM232				
																LOC100289511											BARHL2										LOC644100				
																MIR1260A											HSP90B3P										FLJ33630				
																MIR3173											GBP7										LOC644936				
																LOC100506321											C1orf146										LINC00461				
																LOC100507043											FAM69A										LOC647859				
																SYNJ2BP-COX16											SLC6A17										GUSBP3				
																CHURC1-FNTB											UOX										GTF2H2B				
																MIR4505											FRRS1										SNORA13				
																MIR4708											GBP1P1										SCARNA18				
																MIR4709											FLJ27354										SNORA47				
																MIR4706											MIR137HG										MIR583				
																LOC100628307											MIR137										GTF2H2C				
																											MIR197										LOC728342				
																											C1orf180										SERF1B				
																											FLJ31662										LOC728723				
																											LOC440600										GTF2H2D				
																											BCL2L15										GUSBP9				
																											PGCP1										LOC100129716				
																											GEMIN8P4										LOC100131067				
																											RBMXL1										FAM159B				
																											SRG7										LOC100133050				
																											CYMP										LOC100170939				
																											LOC643441										LOC100272216				
																											LOC646626										LOC100289230				
																											LOC648740										LOC100289673				
																											NBPF6										MIR1244-1				
																											SCARNA2										TMED7-TICAM2				
																											MIR548D1										NCRUPAR				
																											MIR553										LOC100303749				
																											LOC729970										MIR2277				
																											LOC729987										MIR1244-3				
																											MIR942										MIR1244-2				
																											MIR760										MIR4280				
																											LOC100128787										MTRNR2L2				
																											LOC100129046										MIR3607				
																											LOC100129138										MIR3660				
																											LOC100129269										LOC100505678				
																											LOC100129620										LOC100505841				
																											LOC100131564										LOC100505894				
																											LOC100287722										OCLN				
																											MIR320B1										MIR4804				
																											MIR4256										MIR4633				
																											MIR548AA1										MIR3977				
																											LOC100505768										MIR4460				
																											LOC100506343										MIR4803				
																											TMEM56-RWDD3														
																											MIR2682														
																											MIR4423														
